    [Fold 2 | Ep  63/120] train_acc=54.8%  val_acc=45.0%  val_loss=1.727  (720s)
    [Fold 2 | Ep  64/120] train_acc=56.7%  val_acc=45.0%  val_loss=1.687  (302s)
    [Fold 2 | Ep  65/120] train_acc=55.2%  val_acc=45.0%  val_loss=1.678  (982s)
    [Fold 2 | Ep  66/120] train_acc=56.3%  val_acc=45.0%  val_loss=1.681  (768s)
    [Fold 2 | Ep  67/120] train_acc=57.0%  val_acc=45.0%  val_loss=1.722  (428s)
    [Fold 2 | Ep  68/120] train_acc=56.1%  val_acc=40.0%  val_loss=1.693  (885s)
    [Fold 2 | Ep  69/120] train_acc=57.8%  val_acc=35.0%  val_loss=1.736  (537s)
    [Fold 2 | Ep  70/120] train_acc=61.3%  val_acc=40.0%  val_loss=1.746  (50s)
    [Fold 2 | Ep  71/120] train_acc=61.5%  val_acc=45.0%  val_loss=1.738  (784s)
    [Fold 2 | Ep  72/120] train_acc=57.2%  val_acc=45.0%  val_loss=1.694  (418s)
    [Fold 2 | Ep  73/120] train_acc=59.6%  val_acc=50.0%  val_loss=1.744  (165s)
    [Fold 2 | Ep  74/120] train_acc=59.4%  val_acc=35.0%  val_loss=1.804  (816s)
    [Fold 2 | Ep  75/120] train_acc=60.2%  val_acc=40.0%  val_loss=1.780  (450s)
    [Fold 2 | Ep  76/120] train_acc=63.0%  val_acc=40.0%  val_loss=1.740  (394s)
    [Fold 2 | Ep  77/120] train_acc=60.6%  val_acc=45.0%  val_loss=1.863  (36s)
    [Fold 2 | Ep  78/120] train_acc=64.8%  val_acc=35.0%  val_loss=1.795  (229s)
    Early stopping at epoch 78
