  [Fold 4 | Ep  38/120] loss=0.555 train_acc=86.9% val_acc=75.0% NOR_recall=50.0% DIS_recall=81.2% val_loss=0.663 pat=1/30 (41s)
  [Fold 4 | Ep  39/120] loss=0.510 train_acc=88.7% val_acc=75.0% NOR_recall=50.0% DIS_recall=81.2% val_loss=0.652 pat=2/30 (42s)
  [Fold 4 | Ep  40/120] loss=0.491 train_acc=88.2% val_acc=80.0% NOR_recall=25.0% DIS_recall=93.8% val_loss=0.617 pat=3/30 (73s)
  [Fold 4 | Ep  41/120] loss=0.516 train_acc=88.7% val_acc=80.0% NOR_recall=0.0% DIS_recall=100.0% val_loss=0.701 pat=0/30 (67s)
  [Fold 4 | Ep  42/120] loss=0.521 train_acc=86.5% val_acc=75.0% NOR_recall=25.0% DIS_recall=87.5% val_loss=0.639 pat=1/30 (66s)
  [Fold 4 | Ep  43/120] loss=0.462 train_acc=91.3% val_acc=70.0% NOR_recall=50.0% DIS_recall=75.0% val_loss=0.725 pat=2/30 (63s)
  [Fold 4 | Ep  44/120] loss=0.464 train_acc=90.4% val_acc=70.0% NOR_recall=25.0% DIS_recall=81.2% val_loss=0.749 pat=3/30 (40s)
  [Fold 4 | Ep  45/120] loss=0.456 train_acc=89.3% val_acc=70.0% NOR_recall=0.0% DIS_recall=87.5% val_loss=0.731 pat=4/30 (41s)
  [Fold 4 | Ep  46/120] loss=0.468 train_acc=90.4% val_acc=70.0% NOR_recall=25.0% DIS_recall=81.2% val_loss=0.739 pat=5/30 (109s)
  [Fold 4 | Ep  47/120] loss=0.415 train_acc=93.0% val_acc=70.0% NOR_recall=75.0% DIS_recall=68.8% val_loss=0.848 pat=6/30 (77s)
  [Fold 4 | Ep  48/120] loss=0.397 train_acc=92.8% val_acc=75.0% NOR_recall=50.0% DIS_recall=81.2% val_loss=0.734 pat=7/30 (76s)
  [Fold 4 | Ep  49/120] loss=0.363 train_acc=95.2% val_acc=70.0% NOR_recall=75.0% DIS_recall=68.8% val_loss=0.944 pat=8/30 (75s)
  [Fold 4 | Ep  50/120] loss=0.389 train_acc=93.9% val_acc=60.0% NOR_recall=0.0% DIS_recall=75.0% val_loss=0.870 pat=9/30 (75s)
  [Fold 4 | Ep  51/120] loss=0.366 train_acc=96.7% val_acc=65.0% NOR_recall=50.0% DIS_recall=68.8% val_loss=0.891 pat=10/30 (66s)
  [Fold 4 | Ep  52/120] loss=0.352 train_acc=94.1% val_acc=80.0% NOR_recall=0.0% DIS_recall=100.0% val_loss=0.802 pat=11/30 (66s)
  [Fold 4 | Ep  53/120] loss=0.380 train_acc=94.6% val_acc=80.0% NOR_recall=100.0% DIS_recall=75.0% val_loss=0.930 pat=12/30 (65s)
  [Fold 4 | Ep  54/120] loss=0.343 train_acc=95.9% val_acc=75.0% NOR_recall=50.0% DIS_recall=81.2% val_loss=0.797 pat=13/30 (145s)
  [Fold 4 | Ep  55/120] loss=0.317 train_acc=96.7% val_acc=70.0% NOR_recall=50.0% DIS_recall=75.0% val_loss=0.856 pat=14/30 (82s)
  [Fold 4 | Ep  56/120] loss=0.379 train_acc=95.6% val_acc=80.0% NOR_recall=25.0% DIS_recall=93.8% val_loss=0.790 pat=15/30 (31s)
  [Fold 4 | Ep  57/120] loss=0.314 train_acc=97.4% val_acc=80.0% NOR_recall=0.0% DIS_recall=100.0% val_loss=0.855 pat=16/30 (27s)
  [Fold 4 | Ep  58/120] loss=0.326 train_acc=97.2% val_acc=85.0% NOR_recall=25.0% DIS_recall=100.0% val_loss=0.737 pat=17/30 (30s)
  [Fold 4 | Ep  59/120] loss=0.333 train_acc=97.0% val_acc=75.0% NOR_recall=25.0% DIS_recall=87.5% val_loss=0.818 pat=18/30 (45s)
  [Fold 4 | Ep  60/120] loss=0.309 train_acc=97.8% val_acc=90.0% NOR_recall=50.0% DIS_recall=100.0% val_loss=0.763 pat=19/30 (47s)
  [Fold 4 | Ep  61/120] loss=0.333 train_acc=97.0% val_acc=75.0% NOR_recall=50.0% DIS_recall=81.2% val_loss=0.798 pat=20/30 (45s)
  [Fold 4 | Ep  62/120] loss=0.314 train_acc=97.8% val_acc=85.0% NOR_recall=25.0% DIS_recall=100.0% val_loss=0.741 pat=21/30 (47s)
  [Fold 4 | Ep  63/120] loss=0.318 train_acc=97.0% val_acc=90.0% NOR_recall=50.0% DIS_recall=100.0% val_loss=0.748 pat=22/30 (37s)
  [Fold 4 | Ep  64/120] loss=0.305 train_acc=98.2% val_acc=90.0% NOR_recall=100.0% DIS_recall=87.5% val_loss=0.799 pat=23/30 (27s)
  [Fold 4 | Ep  65/120] loss=0.333 train_acc=97.6% val_acc=85.0% NOR_recall=25.0% DIS_recall=100.0% val_loss=0.718 pat=24/30 (26s)
  [Fold 4 | Ep  66/120] loss=0.342 train_acc=97.4% val_acc=80.0% NOR_recall=50.0% DIS_recall=87.5% val_loss=0.811 pat=25/30 (26s)
  [Fold 4 | Ep  67/120] loss=0.322 train_acc=97.0% val_acc=75.0% NOR_recall=25.0% DIS_recall=87.5% val_loss=0.767 pat=26/30 (49s)
  [Fold 4 | Ep  68/120] loss=0.298 train_acc=98.7% val_acc=90.0% NOR_recall=100.0% DIS_recall=87.5% val_loss=0.762 pat=27/30 (46s)
  [Fold 4 | Ep  69/120] loss=0.270 train_acc=98.7% val_acc=75.0% NOR_recall=0.0% DIS_recall=93.8% val_loss=0.791 pat=28/30 (43s)
  [Fold 4 | Ep  70/120] loss=0.317 train_acc=96.9% val_acc=90.0% NOR_recall=100.0% DIS_recall=87.5% val_loss=0.781 pat=29/30 (43s)
  Early stopping at epoch 70
