  [Fold 4 | Ep  41/120] loss=0.030 train_acc=75.1% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=2/30 (51s)
  [Fold 4 | Ep  42/120] loss=0.027 train_acc=76.4% val_acc=95.0% bal_acc=96.9% NOR=100.0% DIS=93.8% pat=3/30 (51s)
  [Fold 4 | Ep  43/120] loss=0.029 train_acc=77.1% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=0/30 (103s)
  [Fold 4 | Ep  44/120] loss=0.028 train_acc=76.4% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=1/30 (22s)
  [Fold 4 | Ep  45/120] loss=0.027 train_acc=78.8% val_acc=95.0% bal_acc=96.9% NOR=100.0% DIS=93.8% pat=2/30 (18s)
  [Fold 4 | Ep  46/120] loss=0.030 train_acc=75.3% val_acc=95.0% bal_acc=96.9% NOR=100.0% DIS=93.8% pat=3/30 (19s)
  [Fold 4 | Ep  47/120] loss=0.028 train_acc=77.9% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=4/30 (19s)
  [Fold 4 | Ep  48/120] loss=0.029 train_acc=76.2% val_acc=95.0% bal_acc=96.9% NOR=100.0% DIS=93.8% pat=5/30 (17s)
  [Fold 4 | Ep  49/120] loss=0.028 train_acc=76.9% val_acc=95.0% bal_acc=96.9% NOR=100.0% DIS=93.8% pat=6/30 (19s)
  [Fold 4 | Ep  50/120] loss=0.026 train_acc=76.8% val_acc=95.0% bal_acc=96.9% NOR=100.0% DIS=93.8% pat=7/30 (19s)
  [Fold 4 | Ep  51/120] loss=0.027 train_acc=78.4% val_acc=95.0% bal_acc=96.9% NOR=100.0% DIS=93.8% pat=8/30 (17s)
  [Fold 4 | Ep  52/120] loss=0.025 train_acc=79.7% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=9/30 (19s)
  [Fold 4 | Ep  53/120] loss=0.025 train_acc=76.9% val_acc=95.0% bal_acc=96.9% NOR=100.0% DIS=93.8% pat=10/30 (18s)
  [Fold 4 | Ep  54/120] loss=0.024 train_acc=81.9% val_acc=95.0% bal_acc=96.9% NOR=100.0% DIS=93.8% pat=11/30 (18s)
  [Fold 4 | Ep  55/120] loss=0.025 train_acc=80.8% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=12/30 (19s)
  [Fold 4 | Ep  56/120] loss=0.027 train_acc=77.1% val_acc=95.0% bal_acc=96.9% NOR=100.0% DIS=93.8% pat=13/30 (18s)
  [Fold 4 | Ep  57/120] loss=0.025 train_acc=79.3% val_acc=95.0% bal_acc=96.9% NOR=100.0% DIS=93.8% pat=14/30 (155s)
  [Fold 4 | Ep  58/120] loss=0.025 train_acc=79.5% val_acc=95.0% bal_acc=96.9% NOR=100.0% DIS=93.8% pat=15/30 (160s)
  [Fold 4 | Ep  59/120] loss=0.024 train_acc=79.7% val_acc=95.0% bal_acc=96.9% NOR=100.0% DIS=93.8% pat=16/30 (19s)
  [Fold 4 | Ep  60/120] loss=0.025 train_acc=79.7% val_acc=95.0% bal_acc=96.9% NOR=100.0% DIS=93.8% pat=17/30 (19s)
  [Fold 4 | Ep  61/120] loss=0.023 train_acc=81.4% val_acc=95.0% bal_acc=96.9% NOR=100.0% DIS=93.8% pat=18/30 (19s)
  [Fold 4 | Ep  62/120] loss=0.025 train_acc=81.2% val_acc=95.0% bal_acc=96.9% NOR=100.0% DIS=93.8% pat=19/30 (19s)
  [Fold 4 | Ep  63/120] loss=0.023 train_acc=79.7% val_acc=95.0% bal_acc=96.9% NOR=100.0% DIS=93.8% pat=20/30 (20s)
  [Fold 4 | Ep  64/120] loss=0.023 train_acc=80.4% val_acc=95.0% bal_acc=96.9% NOR=100.0% DIS=93.8% pat=21/30 (20s)
  [Fold 4 | Ep  65/120] loss=0.023 train_acc=82.3% val_acc=95.0% bal_acc=96.9% NOR=100.0% DIS=93.8% pat=22/30 (43s)
  [Fold 4 | Ep  66/120] loss=0.025 train_acc=79.2% val_acc=95.0% bal_acc=96.9% NOR=100.0% DIS=93.8% pat=23/30 (422s)
  [Fold 4 | Ep  67/120] loss=0.025 train_acc=79.9% val_acc=95.0% bal_acc=96.9% NOR=100.0% DIS=93.8% pat=24/30 (482s)
  [Fold 4 | Ep  68/120] loss=0.025 train_acc=80.8% val_acc=95.0% bal_acc=96.9% NOR=100.0% DIS=93.8% pat=25/30 (574s)
  [Fold 4 | Ep  69/120] loss=0.023 train_acc=83.0% val_acc=95.0% bal_acc=96.9% NOR=100.0% DIS=93.8% pat=26/30 (443s)
  [Fold 4 | Ep  70/120] loss=0.023 train_acc=80.3% val_acc=95.0% bal_acc=96.9% NOR=100.0% DIS=93.8% pat=27/30 (138s)
  [Fold 4 | Ep  71/120] loss=0.022 train_acc=80.6% val_acc=95.0% bal_acc=96.9% NOR=100.0% DIS=93.8% pat=28/30 (435s)
  [Fold 4 | Ep  72/120] loss=0.023 train_acc=79.5% val_acc=95.0% bal_acc=96.9% NOR=100.0% DIS=93.8% pat=29/30 (15s)
  Early stopping at epoch 72
