    [Fold 1 | Ep   1/120] train_acc=20.8%  val_acc=20.0%  val_loss=1.665  (74s)
    [Fold 1 | Ep   2/120] train_acc=20.2%  val_acc=20.0%  val_loss=1.671  (37s)
    [Fold 1 | Ep   3/120] train_acc=19.5%  val_acc=20.0%  val_loss=1.670  (27s)
    [Fold 1 | Ep   4/120] train_acc=19.7%  val_acc=20.0%  val_loss=1.668  (27s)
    [Fold 1 | Ep   5/120] train_acc=20.0%  val_acc=20.0%  val_loss=1.676  (28s)
    [Fold 1 | Ep   6/120] train_acc=19.5%  val_acc=20.0%  val_loss=1.670  (28s)
    [Fold 1 | Ep   7/120] train_acc=21.0%  val_acc=20.0%  val_loss=1.676  (29s)
    [Fold 1 | Ep   8/120] train_acc=20.2%  val_acc=20.0%  val_loss=1.672  (29s)
    [Fold 1 | Ep   9/120] train_acc=21.2%  val_acc=20.0%  val_loss=1.668  (132s)
    [Fold 1 | Ep  10/120] train_acc=20.8%  val_acc=20.0%  val_loss=1.675  (117s)
