    [Fold 4 | Ep  63/120] train_acc=49.4%  val_acc=15.0%  val_loss=1.947  (39s)
    [Fold 4 | Ep  64/120] train_acc=52.2%  val_acc=20.0%  val_loss=1.900  (62s)
    [Fold 4 | Ep  65/120] train_acc=53.1%  val_acc=25.0%  val_loss=1.834  (46s)
    [Fold 4 | Ep  66/120] train_acc=51.3%  val_acc=20.0%  val_loss=1.919  (119s)
    [Fold 4 | Ep  67/120] train_acc=53.0%  val_acc=30.0%  val_loss=1.892  (87s)
    [Fold 4 | Ep  68/120] train_acc=53.1%  val_acc=30.0%  val_loss=1.980  (56s)
    [Fold 4 | Ep  69/120] train_acc=52.0%  val_acc=25.0%  val_loss=1.933  (63s)
    [Fold 4 | Ep  70/120] train_acc=53.1%  val_acc=25.0%  val_loss=1.945  (40s)
    [Fold 4 | Ep  71/120] train_acc=55.5%  val_acc=25.0%  val_loss=1.903  (77s)
    Early stopping at epoch 71
