  [Fold 3 | Ep  41/120] loss=0.022 train_acc=84.5% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=2/30 (21s)
  [Fold 3 | Ep  42/120] loss=0.021 train_acc=84.1% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=3/30 (21s)
  [Fold 3 | Ep  43/120] loss=0.022 train_acc=82.8% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=4/30 (22s)
  [Fold 3 | Ep  44/120] loss=0.023 train_acc=83.9% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=5/30 (22s)
  [Fold 3 | Ep  45/120] loss=0.022 train_acc=83.6% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=6/30 (20s)
  [Fold 3 | Ep  46/120] loss=0.020 train_acc=82.8% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=7/30 (21s)
  [Fold 3 | Ep  47/120] loss=0.020 train_acc=85.2% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=8/30 (19s)
  [Fold 3 | Ep  48/120] loss=0.018 train_acc=87.1% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=9/30 (20s)
  [Fold 3 | Ep  49/120] loss=0.019 train_acc=86.9% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=10/30 (19s)
  [Fold 3 | Ep  50/120] loss=0.019 train_acc=88.0% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=0/30 (19s)
  [Fold 3 | Ep  51/120] loss=0.020 train_acc=86.5% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=1/30 (20s)
  [Fold 3 | Ep  52/120] loss=0.020 train_acc=84.9% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=2/30 (21s)
  [Fold 3 | Ep  53/120] loss=0.019 train_acc=85.6% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=3/30 (22s)
  [Fold 3 | Ep  54/120] loss=0.020 train_acc=86.9% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=4/30 (21s)
  [Fold 3 | Ep  55/120] loss=0.020 train_acc=86.0% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=5/30 (19s)
  [Fold 3 | Ep  56/120] loss=0.018 train_acc=87.8% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=6/30 (21s)
  [Fold 3 | Ep  57/120] loss=0.019 train_acc=85.8% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=7/30 (20s)
  [Fold 3 | Ep  58/120] loss=0.018 train_acc=88.0% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=8/30 (19s)
  [Fold 3 | Ep  59/120] loss=0.018 train_acc=86.9% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=9/30 (20s)
  [Fold 3 | Ep  60/120] loss=0.016 train_acc=89.7% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=10/30 (19s)
  [Fold 3 | Ep  61/120] loss=0.017 train_acc=85.6% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=11/30 (21s)
  [Fold 3 | Ep  62/120] loss=0.015 train_acc=90.0% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=12/30 (19s)
  [Fold 3 | Ep  63/120] loss=0.016 train_acc=88.6% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=13/30 (17s)
  [Fold 3 | Ep  64/120] loss=0.018 train_acc=86.5% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=14/30 (17s)
  [Fold 3 | Ep  65/120] loss=0.018 train_acc=87.5% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=15/30 (18s)
  [Fold 3 | Ep  66/120] loss=0.017 train_acc=87.8% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=16/30 (19s)
  [Fold 3 | Ep  67/120] loss=0.016 train_acc=87.3% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=17/30 (21s)
  [Fold 3 | Ep  68/120] loss=0.018 train_acc=88.7% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=18/30 (18s)
  [Fold 3 | Ep  69/120] loss=0.018 train_acc=88.7% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=19/30 (20s)
  [Fold 3 | Ep  70/120] loss=0.017 train_acc=87.6% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=20/30 (20s)
  [Fold 3 | Ep  71/120] loss=0.017 train_acc=86.9% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=21/30 (21s)
  [Fold 3 | Ep  72/120] loss=0.015 train_acc=90.0% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=22/30 (22s)
  [Fold 3 | Ep  73/120] loss=0.016 train_acc=88.2% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=23/30 (21s)
  [Fold 3 | Ep  74/120] loss=0.016 train_acc=87.3% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=24/30 (19s)
  [Fold 3 | Ep  75/120] loss=0.016 train_acc=87.8% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=25/30 (21s)
  [Fold 3 | Ep  76/120] loss=0.016 train_acc=89.7% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=26/30 (22s)
  [Fold 3 | Ep  77/120] loss=0.017 train_acc=88.6% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=27/30 (20s)
  [Fold 3 | Ep  78/120] loss=0.017 train_acc=88.9% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=28/30 (19s)
  [Fold 3 | Ep  79/120] loss=0.014 train_acc=88.0% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=29/30 (19s)
  Early stopping at epoch 79
