    [Fold 3 | Ep  63/120] train_acc=77.5%  val_acc=50.0%  val_loss=1.397  (429s)
    [Fold 3 | Ep  64/120] train_acc=78.4%  val_acc=50.0%  val_loss=1.438  (211s)
    [Fold 3 | Ep  65/120] train_acc=80.4%  val_acc=55.0%  val_loss=1.415  (269s)
    [Fold 3 | Ep  66/120] train_acc=79.0%  val_acc=40.0%  val_loss=1.424  (263s)
    [Fold 3 | Ep  67/120] train_acc=77.3%  val_acc=55.0%  val_loss=1.488  (513s)
    [Fold 3 | Ep  68/120] train_acc=77.1%  val_acc=45.0%  val_loss=1.476  (420s)
    [Fold 3 | Ep  69/120] train_acc=79.3%  val_acc=50.0%  val_loss=1.470  (349s)
    [Fold 3 | Ep  70/120] train_acc=79.9%  val_acc=35.0%  val_loss=1.492  (43s)
    [Fold 3 | Ep  71/120] train_acc=79.9%  val_acc=40.0%  val_loss=1.555  (296s)
    [Fold 3 | Ep  72/120] train_acc=82.1%  val_acc=45.0%  val_loss=1.537  (225s)
    [Fold 3 | Ep  73/120] train_acc=81.5%  val_acc=50.0%  val_loss=1.564  (213s)
    [Fold 3 | Ep  74/120] train_acc=80.8%  val_acc=45.0%  val_loss=1.567  (309s)
    [Fold 3 | Ep  75/120] train_acc=83.0%  val_acc=45.0%  val_loss=1.546  (97s)
    Early stopping at epoch 75
