  [Fold 2 | Ep  38/120] loss=0.654 train_acc=76.3% val_acc=65.0% NOR_recall=75.0% DIS_recall=62.5% val_loss=0.719 pat=0/30 (68s)
  [Fold 2 | Ep  39/120] loss=0.642 train_acc=79.4% val_acc=65.0% NOR_recall=25.0% DIS_recall=75.0% val_loss=0.715 pat=0/30 (68s)
  [Fold 2 | Ep  40/120] loss=0.624 train_acc=79.6% val_acc=60.0% NOR_recall=50.0% DIS_recall=62.5% val_loss=0.723 pat=0/30 (41s)
  [Fold 2 | Ep  41/120] loss=0.585 train_acc=83.0% val_acc=60.0% NOR_recall=25.0% DIS_recall=68.8% val_loss=0.719 pat=1/30 (41s)
  [Fold 2 | Ep  42/120] loss=0.542 train_acc=88.0% val_acc=85.0% NOR_recall=25.0% DIS_recall=100.0% val_loss=0.669 pat=2/30 (46s)
  [Fold 2 | Ep  43/120] loss=0.537 train_acc=86.7% val_acc=70.0% NOR_recall=25.0% DIS_recall=81.2% val_loss=0.779 pat=0/30 (74s)
  [Fold 2 | Ep  44/120] loss=0.496 train_acc=90.4% val_acc=80.0% NOR_recall=25.0% DIS_recall=93.8% val_loss=0.706 pat=1/30 (77s)
  [Fold 2 | Ep  45/120] loss=0.504 train_acc=89.1% val_acc=75.0% NOR_recall=25.0% DIS_recall=87.5% val_loss=0.722 pat=2/30 (77s)
  [Fold 2 | Ep  46/120] loss=0.503 train_acc=90.4% val_acc=80.0% NOR_recall=25.0% DIS_recall=93.8% val_loss=0.722 pat=3/30 (114s)
  [Fold 2 | Ep  47/120] loss=0.518 train_acc=90.2% val_acc=80.0% NOR_recall=50.0% DIS_recall=87.5% val_loss=0.719 pat=4/30 (83s)
  [Fold 2 | Ep  48/120] loss=0.425 train_acc=90.2% val_acc=75.0% NOR_recall=75.0% DIS_recall=75.0% val_loss=0.850 pat=5/30 (97s)
  [Fold 2 | Ep  49/120] loss=0.425 train_acc=91.3% val_acc=60.0% NOR_recall=25.0% DIS_recall=68.8% val_loss=0.821 pat=6/30 (76s)
  [Fold 2 | Ep  50/120] loss=0.413 train_acc=93.1% val_acc=55.0% NOR_recall=25.0% DIS_recall=62.5% val_loss=0.939 pat=7/30 (76s)
  [Fold 2 | Ep  51/120] loss=0.430 train_acc=92.8% val_acc=75.0% NOR_recall=25.0% DIS_recall=87.5% val_loss=0.748 pat=8/30 (54s)
  [Fold 2 | Ep  52/120] loss=0.414 train_acc=93.0% val_acc=70.0% NOR_recall=25.0% DIS_recall=81.2% val_loss=0.769 pat=9/30 (41s)
  [Fold 2 | Ep  53/120] loss=0.395 train_acc=93.3% val_acc=75.0% NOR_recall=0.0% DIS_recall=93.8% val_loss=0.759 pat=10/30 (41s)
  [Fold 2 | Ep  54/120] loss=0.373 train_acc=94.8% val_acc=75.0% NOR_recall=25.0% DIS_recall=87.5% val_loss=0.786 pat=11/30 (42s)
  [Fold 2 | Ep  55/120] loss=0.343 train_acc=96.1% val_acc=80.0% NOR_recall=25.0% DIS_recall=93.8% val_loss=0.812 pat=12/30 (41s)
  [Fold 2 | Ep  56/120] loss=0.364 train_acc=95.0% val_acc=80.0% NOR_recall=75.0% DIS_recall=81.2% val_loss=0.797 pat=13/30 (63s)
  [Fold 2 | Ep  57/120] loss=0.378 train_acc=94.6% val_acc=70.0% NOR_recall=25.0% DIS_recall=81.2% val_loss=0.860 pat=14/30 (64s)
  [Fold 2 | Ep  58/120] loss=0.377 train_acc=93.9% val_acc=75.0% NOR_recall=25.0% DIS_recall=87.5% val_loss=0.823 pat=15/30 (66s)
  [Fold 2 | Ep  59/120] loss=0.338 train_acc=96.1% val_acc=75.0% NOR_recall=25.0% DIS_recall=87.5% val_loss=0.900 pat=16/30 (66s)
  [Fold 2 | Ep  60/120] loss=0.340 train_acc=96.3% val_acc=75.0% NOR_recall=25.0% DIS_recall=87.5% val_loss=0.804 pat=17/30 (41s)
  [Fold 2 | Ep  61/120] loss=0.319 train_acc=97.6% val_acc=65.0% NOR_recall=50.0% DIS_recall=68.8% val_loss=1.016 pat=18/30 (39s)
