  [Fold 5 | Ep  41/120] loss=0.026 train_acc=80.4% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=0/30 (20s)
  [Fold 5 | Ep  42/120] loss=0.028 train_acc=80.4% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=1/30 (17s)
  [Fold 5 | Ep  43/120] loss=0.025 train_acc=81.0% val_acc=75.0% bal_acc=84.4% NOR=100.0% DIS=68.8% pat=2/30 (17s)
  [Fold 5 | Ep  44/120] loss=0.023 train_acc=81.9% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=3/30 (19s)
  [Fold 5 | Ep  45/120] loss=0.024 train_acc=83.8% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=4/30 (20s)
  [Fold 5 | Ep  46/120] loss=0.025 train_acc=79.9% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=5/30 (19s)
  [Fold 5 | Ep  47/120] loss=0.029 train_acc=81.2% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=6/30 (18s)
  [Fold 5 | Ep  48/120] loss=0.023 train_acc=79.7% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=7/30 (19s)
  [Fold 5 | Ep  49/120] loss=0.022 train_acc=85.5% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=8/30 (20s)
  [Fold 5 | Ep  50/120] loss=0.025 train_acc=81.0% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=9/30 (19s)
  [Fold 5 | Ep  51/120] loss=0.025 train_acc=82.5% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=10/30 (18s)
  [Fold 5 | Ep  52/120] loss=0.022 train_acc=83.1% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=11/30 (17s)
  [Fold 5 | Ep  53/120] loss=0.023 train_acc=84.0% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=12/30 (19s)
  [Fold 5 | Ep  54/120] loss=0.023 train_acc=83.6% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=13/30 (19s)
  [Fold 5 | Ep  55/120] loss=0.023 train_acc=83.2% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=14/30 (19s)
  [Fold 5 | Ep  56/120] loss=0.021 train_acc=84.7% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=15/30 (17s)
  [Fold 5 | Ep  57/120] loss=0.023 train_acc=83.4% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=16/30 (16s)
  [Fold 5 | Ep  58/120] loss=0.022 train_acc=82.9% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=17/30 (15s)
  [Fold 5 | Ep  59/120] loss=0.021 train_acc=85.3% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=18/30 (17s)
  [Fold 5 | Ep  60/120] loss=0.022 train_acc=84.4% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=19/30 (17s)
  [Fold 5 | Ep  61/120] loss=0.020 train_acc=86.0% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=20/30 (16s)
  [Fold 5 | Ep  62/120] loss=0.018 train_acc=85.7% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=21/30 (18s)
  [Fold 5 | Ep  63/120] loss=0.022 train_acc=85.3% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=22/30 (17s)
  [Fold 5 | Ep  64/120] loss=0.021 train_acc=83.8% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=23/30 (17s)
  [Fold 5 | Ep  65/120] loss=0.021 train_acc=85.1% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=24/30 (20s)
  [Fold 5 | Ep  66/120] loss=0.020 train_acc=85.1% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=25/30 (18s)
  [Fold 5 | Ep  67/120] loss=0.021 train_acc=83.6% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=26/30 (17s)
  [Fold 5 | Ep  68/120] loss=0.020 train_acc=87.3% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=27/30 (19s)
  [Fold 5 | Ep  69/120] loss=0.020 train_acc=86.0% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=28/30 (18s)
  [Fold 5 | Ep  70/120] loss=0.019 train_acc=85.5% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=29/30 (18s)
  Early stopping at epoch 70
