    [Fold 3 | Ep  63/120] train_acc=62.2%  val_acc=55.0%  val_loss=1.667  (117s)
    [Fold 3 | Ep  64/120] train_acc=63.8%  val_acc=60.0%  val_loss=1.502  (382s)
    [Fold 3 | Ep  65/120] train_acc=67.3%  val_acc=50.0%  val_loss=1.536  (330s)
    [Fold 3 | Ep  66/120] train_acc=67.9%  val_acc=45.0%  val_loss=1.661  (442s)
    [Fold 3 | Ep  67/120] train_acc=70.3%  val_acc=30.0%  val_loss=1.774  (263s)
    [Fold 3 | Ep  68/120] train_acc=67.3%  val_acc=50.0%  val_loss=1.635  (205s)
    [Fold 3 | Ep  69/120] train_acc=67.9%  val_acc=40.0%  val_loss=1.670  (220s)
    [Fold 3 | Ep  70/120] train_acc=67.7%  val_acc=45.0%  val_loss=1.572  (70s)
    [Fold 3 | Ep  71/120] train_acc=69.2%  val_acc=55.0%  val_loss=1.583  (103s)
    [Fold 3 | Ep  72/120] train_acc=70.7%  val_acc=55.0%  val_loss=1.556  (184s)
    [Fold 3 | Ep  73/120] train_acc=69.7%  val_acc=35.0%  val_loss=1.650  (159s)
    [Fold 3 | Ep  74/120] train_acc=72.0%  val_acc=35.0%  val_loss=1.642  (233s)
    [Fold 3 | Ep  75/120] train_acc=72.9%  val_acc=45.0%  val_loss=1.685  (229s)
    [Fold 3 | Ep  76/120] train_acc=72.0%  val_acc=35.0%  val_loss=1.590  (369s)
    [Fold 3 | Ep  77/120] train_acc=72.9%  val_acc=45.0%  val_loss=1.692  (350s)
    [Fold 3 | Ep  78/120] train_acc=70.7%  val_acc=40.0%  val_loss=1.697  (454s)
    [Fold 3 | Ep  79/120] train_acc=74.2%  val_acc=40.0%  val_loss=1.662  (267s)
    [Fold 3 | Ep  80/120] train_acc=72.1%  val_acc=35.0%  val_loss=1.625  (287s)
    [Fold 3 | Ep  81/120] train_acc=76.8%  val_acc=45.0%  val_loss=1.668  (540s)
    [Fold 3 | Ep  82/120] train_acc=77.9%  val_acc=50.0%  val_loss=1.574  (251s)
    Early stopping at epoch 82
