  [Fold 1 | Ep  38/120] loss=0.587 train_acc=89.2% val_acc=65.0% NOR_recall=75.0% DIS_recall=62.5% val_loss=0.732 pat=0/30 (72s)
  [Fold 1 | Ep  39/120] loss=0.524 train_acc=86.6% val_acc=70.0% NOR_recall=50.0% DIS_recall=75.0% val_loss=0.720 pat=1/30 (105s)
  [Fold 1 | Ep  40/120] loss=0.521 train_acc=90.5% val_acc=80.0% NOR_recall=75.0% DIS_recall=81.2% val_loss=0.723 pat=2/30 (56s)
  [Fold 1 | Ep  41/120] loss=0.499 train_acc=89.8% val_acc=80.0% NOR_recall=25.0% DIS_recall=93.8% val_loss=0.725 pat=3/30 (43s)
  [Fold 1 | Ep  42/120] loss=0.502 train_acc=89.4% val_acc=55.0% NOR_recall=50.0% DIS_recall=56.2% val_loss=0.851 pat=4/30 (43s)
  [Fold 1 | Ep  43/120] loss=0.422 train_acc=93.7% val_acc=80.0% NOR_recall=25.0% DIS_recall=93.8% val_loss=0.768 pat=5/30 (70s)
  [Fold 1 | Ep  44/120] loss=0.413 train_acc=94.2% val_acc=75.0% NOR_recall=25.0% DIS_recall=87.5% val_loss=0.812 pat=6/30 (71s)
  [Fold 1 | Ep  45/120] loss=0.408 train_acc=92.2% val_acc=80.0% NOR_recall=75.0% DIS_recall=81.2% val_loss=0.803 pat=7/30 (69s)
  [Fold 1 | Ep  46/120] loss=0.385 train_acc=94.4% val_acc=70.0% NOR_recall=50.0% DIS_recall=75.0% val_loss=0.784 pat=8/30 (66s)
  [Fold 1 | Ep  47/120] loss=0.381 train_acc=94.1% val_acc=60.0% NOR_recall=50.0% DIS_recall=62.5% val_loss=0.938 pat=9/30 (42s)
  [Fold 1 | Ep  48/120] loss=0.353 train_acc=94.8% val_acc=70.0% NOR_recall=25.0% DIS_recall=81.2% val_loss=0.886 pat=10/30 (95s)
  [Fold 1 | Ep  49/120] loss=0.363 train_acc=93.7% val_acc=75.0% NOR_recall=25.0% DIS_recall=87.5% val_loss=0.909 pat=11/30 (41s)
  [Fold 1 | Ep  50/120] loss=0.359 train_acc=96.3% val_acc=55.0% NOR_recall=50.0% DIS_recall=56.2% val_loss=1.083 pat=12/30 (69s)
  [Fold 1 | Ep  51/120] loss=0.356 train_acc=95.7% val_acc=70.0% NOR_recall=75.0% DIS_recall=68.8% val_loss=0.902 pat=13/30 (70s)
  [Fold 1 | Ep  52/120] loss=0.374 train_acc=95.7% val_acc=55.0% NOR_recall=50.0% DIS_recall=56.2% val_loss=1.058 pat=14/30 (70s)
  [Fold 1 | Ep  53/120] loss=0.313 train_acc=96.5% val_acc=80.0% NOR_recall=25.0% DIS_recall=93.8% val_loss=0.841 pat=15/30 (66s)
