  [Fold 3 | Ep  38/120] loss=0.479 train_acc=90.2% val_acc=75.0% NOR_recall=25.0% DIS_recall=87.5% val_loss=0.621 pat=4/30 (62s)
  [Fold 3 | Ep  39/120] loss=0.460 train_acc=93.4% val_acc=85.0% NOR_recall=25.0% DIS_recall=100.0% val_loss=0.673 pat=0/30 (70s)
  [Fold 3 | Ep  40/120] loss=0.450 train_acc=92.6% val_acc=80.0% NOR_recall=50.0% DIS_recall=87.5% val_loss=0.688 pat=1/30 (68s)
  [Fold 3 | Ep  41/120] loss=0.422 train_acc=93.0% val_acc=70.0% NOR_recall=0.0% DIS_recall=87.5% val_loss=0.768 pat=2/30 (71s)
  [Fold 3 | Ep  42/120] loss=0.396 train_acc=95.8% val_acc=60.0% NOR_recall=50.0% DIS_recall=62.5% val_loss=0.797 pat=3/30 (46s)
  [Fold 3 | Ep  43/120] loss=0.395 train_acc=93.9% val_acc=75.0% NOR_recall=50.0% DIS_recall=81.2% val_loss=0.809 pat=4/30 (43s)
  [Fold 3 | Ep  44/120] loss=0.436 train_acc=92.4% val_acc=60.0% NOR_recall=50.0% DIS_recall=62.5% val_loss=1.004 pat=5/30 (54s)
  [Fold 3 | Ep  45/120] loss=0.391 train_acc=95.2% val_acc=75.0% NOR_recall=50.0% DIS_recall=81.2% val_loss=0.855 pat=6/30 (72s)
  [Fold 3 | Ep  46/120] loss=0.353 train_acc=95.8% val_acc=80.0% NOR_recall=25.0% DIS_recall=93.8% val_loss=0.739 pat=7/30 (71s)
  [Fold 3 | Ep  47/120] loss=0.349 train_acc=95.2% val_acc=75.0% NOR_recall=75.0% DIS_recall=75.0% val_loss=0.866 pat=8/30 (66s)
  [Fold 3 | Ep  48/120] loss=0.346 train_acc=95.8% val_acc=70.0% NOR_recall=25.0% DIS_recall=81.2% val_loss=0.883 pat=9/30 (52s)
  [Fold 3 | Ep  49/120] loss=0.336 train_acc=96.7% val_acc=70.0% NOR_recall=50.0% DIS_recall=75.0% val_loss=0.905 pat=10/30 (39s)
  [Fold 3 | Ep  50/120] loss=0.323 train_acc=96.9% val_acc=85.0% NOR_recall=50.0% DIS_recall=93.8% val_loss=0.767 pat=11/30 (106s)
  [Fold 3 | Ep  51/120] loss=0.314 train_acc=97.8% val_acc=80.0% NOR_recall=50.0% DIS_recall=87.5% val_loss=0.901 pat=12/30 (52s)
  [Fold 3 | Ep  52/120] loss=0.306 train_acc=97.2% val_acc=75.0% NOR_recall=50.0% DIS_recall=81.2% val_loss=0.915 pat=13/30 (66s)
  [Fold 3 | Ep  53/120] loss=0.311 train_acc=97.2% val_acc=75.0% NOR_recall=50.0% DIS_recall=81.2% val_loss=0.866 pat=14/30 (66s)
  [Fold 3 | Ep  54/120] loss=0.328 train_acc=97.6% val_acc=75.0% NOR_recall=50.0% DIS_recall=81.2% val_loss=0.951 pat=15/30 (67s)
  [Fold 3 | Ep  55/120] loss=0.292 train_acc=98.5% val_acc=65.0% NOR_recall=50.0% DIS_recall=68.8% val_loss=1.080 pat=16/30 (52s)
