    [Fold 3 | Ep  63/120] train_acc=54.6%  val_acc=55.0%  val_loss=1.592  (27s)
    [Fold 3 | Ep  64/120] train_acc=55.0%  val_acc=60.0%  val_loss=1.516  (27s)
    [Fold 3 | Ep  65/120] train_acc=55.4%  val_acc=60.0%  val_loss=1.515  (94s)
    [Fold 3 | Ep  66/120] train_acc=56.1%  val_acc=65.0%  val_loss=1.675  (37s)
    [Fold 3 | Ep  67/120] train_acc=55.2%  val_acc=50.0%  val_loss=1.584  (35s)
    [Fold 3 | Ep  68/120] train_acc=52.8%  val_acc=50.0%  val_loss=1.633  (238s)
    [Fold 3 | Ep  69/120] train_acc=58.9%  val_acc=55.0%  val_loss=1.582  (136s)
    [Fold 3 | Ep  70/120] train_acc=59.2%  val_acc=60.0%  val_loss=1.483  (32s)
    [Fold 3 | Ep  71/120] train_acc=59.8%  val_acc=60.0%  val_loss=1.634  (66s)
    [Fold 3 | Ep  72/120] train_acc=60.0%  val_acc=55.0%  val_loss=1.516  (316s)
    [Fold 3 | Ep  73/120] train_acc=59.0%  val_acc=60.0%  val_loss=1.638  (258s)
    [Fold 3 | Ep  74/120] train_acc=61.4%  val_acc=55.0%  val_loss=1.631  (45s)
    [Fold 3 | Ep  75/120] train_acc=55.9%  val_acc=50.0%  val_loss=1.654  (40s)
    Early stopping at epoch 75
