  [Fold 2 | Ep  41/120] loss=0.024 train_acc=82.4% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=3/30 (19s)
  [Fold 2 | Ep  42/120] loss=0.024 train_acc=82.4% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=4/30 (19s)
  [Fold 2 | Ep  43/120] loss=0.022 train_acc=83.0% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=5/30 (17s)
  [Fold 2 | Ep  44/120] loss=0.022 train_acc=84.4% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=6/30 (20s)
  [Fold 2 | Ep  45/120] loss=0.024 train_acc=83.5% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=0/30 (19s)
  [Fold 2 | Ep  46/120] loss=0.022 train_acc=83.9% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=1/30 (18s)
  [Fold 2 | Ep  47/120] loss=0.023 train_acc=83.7% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=2/30 (17s)
  [Fold 2 | Ep  48/120] loss=0.022 train_acc=84.3% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=3/30 (19s)
  [Fold 2 | Ep  49/120] loss=0.020 train_acc=83.7% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=4/30 (19s)
  [Fold 2 | Ep  50/120] loss=0.020 train_acc=87.2% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=5/30 (15s)
  [Fold 2 | Ep  51/120] loss=0.023 train_acc=83.7% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=6/30 (18s)
  [Fold 2 | Ep  52/120] loss=0.019 train_acc=86.5% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=7/30 (16s)
  [Fold 2 | Ep  53/120] loss=0.019 train_acc=88.1% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=8/30 (15s)
  [Fold 2 | Ep  54/120] loss=0.021 train_acc=85.6% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=9/30 (17s)
  [Fold 2 | Ep  55/120] loss=0.020 train_acc=84.8% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=10/30 (16s)
  [Fold 2 | Ep  56/120] loss=0.020 train_acc=84.6% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=11/30 (18s)
  [Fold 2 | Ep  57/120] loss=0.020 train_acc=85.6% val_acc=95.0% bal_acc=96.9% NOR=100.0% DIS=93.8% pat=12/30 (17s)
  [Fold 2 | Ep  58/120] loss=0.017 train_acc=88.7% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=0/30 (20s)
  [Fold 2 | Ep  59/120] loss=0.021 train_acc=83.9% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=1/30 (20s)
  [Fold 2 | Ep  60/120] loss=0.019 train_acc=85.9% val_acc=95.0% bal_acc=96.9% NOR=100.0% DIS=93.8% pat=2/30 (18s)
  [Fold 2 | Ep  61/120] loss=0.019 train_acc=86.3% val_acc=95.0% bal_acc=96.9% NOR=100.0% DIS=93.8% pat=3/30 (19s)
  [Fold 2 | Ep  62/120] loss=0.019 train_acc=86.9% val_acc=95.0% bal_acc=96.9% NOR=100.0% DIS=93.8% pat=4/30 (17s)
  [Fold 2 | Ep  63/120] loss=0.018 train_acc=86.3% val_acc=95.0% bal_acc=96.9% NOR=100.0% DIS=93.8% pat=5/30 (17s)
  [Fold 2 | Ep  64/120] loss=0.017 train_acc=88.3% val_acc=95.0% bal_acc=96.9% NOR=100.0% DIS=93.8% pat=6/30 (19s)
  [Fold 2 | Ep  65/120] loss=0.018 train_acc=86.1% val_acc=95.0% bal_acc=96.9% NOR=100.0% DIS=93.8% pat=7/30 (16s)
  [Fold 2 | Ep  66/120] loss=0.019 train_acc=85.4% val_acc=95.0% bal_acc=96.9% NOR=100.0% DIS=93.8% pat=8/30 (16s)
  [Fold 2 | Ep  67/120] loss=0.017 train_acc=88.9% val_acc=95.0% bal_acc=96.9% NOR=100.0% DIS=93.8% pat=9/30 (17s)
  [Fold 2 | Ep  68/120] loss=0.020 train_acc=86.7% val_acc=95.0% bal_acc=96.9% NOR=100.0% DIS=93.8% pat=10/30 (18s)
  [Fold 2 | Ep  69/120] loss=0.016 train_acc=86.7% val_acc=95.0% bal_acc=96.9% NOR=100.0% DIS=93.8% pat=11/30 (16s)
  [Fold 2 | Ep  70/120] loss=0.018 train_acc=87.6% val_acc=95.0% bal_acc=96.9% NOR=100.0% DIS=93.8% pat=12/30 (17s)
